fecha,tasa_cetes_28
04/01/18,7.25
11/01/18,7.24
18/01/18,7.24
25/01/18,7.25
01/02/18,7.24
08/02/18,7.35
15/02/18,7.50
22/02/18,7.49
01/03/18,7.47
08/03/18,7.50
15/03/18,7.46
22/03/18,7.44
28/03/18,7.49
05/04/18,7.46
12/04/18,7.47
19/04/18,7.45
26/04/18,7.45
03/05/18,7.47
10/05/18,7.52
17/05/18,7.58
24/05/18,7.51
31/05/18,7.48
07/06/18,7.51
14/06/18,7.62
21/06/18,7.71
28/06/18,7.70
05/07/18,7.72
12/07/18,7.74
19/07/18,7.74
26/07/18,7.72
02/08/18,7.74
09/08/18,7.74
16/08/18,7.74
23/08/18,7.71
30/08/18,7.72
06/09/18,7.70
13/09/18,7.70
20/09/18,7.69
27/09/18,7.65
04/10/18,7.67
11/10/18,7.70
18/10/18,7.65
25/10/18,7.72
01/11/18,7.76
08/11/18,7.71
15/11/18,7.79
22/11/18,7.94
29/11/18,7.97
06/12/18,7.95
13/12/18,7.97
20/12/18,8.00
27/12/18,8.17
03/01/19,8.06
10/01/19,8.00
17/01/19,7.91
24/01/19,7.91
31/01/19,7.86
07/02/19,7.90
14/02/19,7.88
21/02/19,7.85
28/02/19,8.10
07/03/19,8.00
14/03/19,8.09
21/03/19,8.15
28/03/19,7.85
04/04/19,7.80
11/04/19,7.76
17/04/19,7.81
25/04/19,7.75
02/05/19,8.20
09/05/19,8.02
16/05/19,8.05
23/05/19,8.03
30/05/19,8.05
06/06/19,8.30
13/06/19,8.28
20/06/19,8.24
27/06/19,8.18
04/07/19,8.10
11/07/19,8.17
18/07/19,8.13
25/07/19,8.15
01/08/19,8.01
08/08/19,8.15
15/08/19,8.05
22/08/19,7.96
29/08/19,7.87
05/09/19,7.81
12/09/19,7.72
19/09/19,7.72
26/09/19,7.61
03/10/19,7.65
10/10/19,7.70
17/10/19,7.67
24/10/19,7.65
31/10/19,7.62
07/11/19,7.55
14/11/19,7.45
21/11/19,7.43
28/11/19,7.46
05/12/19,7.40
11/12/19,7.04
19/12/19,6.80
26/12/19,7.25
02/01/20,7.25
09/01/20,7.26
16/01/20,7.00
23/01/20,7.05
30/01/20,7.04
06/02/20,6.99
13/02/20,7.00
20/02/20,6.95
27/02/20,6.91
05/03/20,6.70
12/03/20,6.81
19/03/20,7.15
26/03/20,6.59
02/04/20,6.39
08/04/20,6.23
16/04/20,6.00
23/04/20,6.00
30/04/20,5.84
07/05/20,5.70
14/05/20,5.39
21/05/20,5.39
28/05/20,5.38
04/06/20,5.27
11/06/20,5.15
18/06/20,4.98
25/06/20,4.85
02/07/20,4.81
09/07/20,4.95
16/07/20,4.90
23/07/20,4.80
30/07/20,4.63
06/08/20,4.53
13/08/20,4.48
20/08/20,4.43
27/08/20,4.50
03/09/20,4.42
10/09/20,4.41
17/09/20,4.45
24/09/20,4.25
01/10/20,4.18
08/10/20,4.26
15/10/20,4.22
22/10/20,4.14
29/10/20,4.22
05/11/20,4.25
12/11/20,4.14
19/11/20,4.24
26/11/20,4.28
03/12/20,4.35
10/12/20,4.26
17/12/20,4.23
24/12/20,4.27
31/12/20,4.24
07/01/21,4.28
14/01/21,4.19
21/01/21,4.19
28/01/21,4.22
04/02/21,4.24
11/02/21,4.19
18/02/21,4.01
25/02/21,4.02
04/03/21,4.06
11/03/21,4.05
18/03/21,4.05
25/03/21,4.03
31/03/21,4.08
08/04/21,4.07
15/04/21,4.07
22/04/21,4.06
29/04/21,4.06
06/05/21,4.07
13/05/21,4.06
20/05/21,4.05
27/05/21,4.07
03/06/21,4.02
10/06/21,4.04
17/06/21,4.00
24/06/21,4.03
01/07/21,4.30
08/07/21,4.30
15/07/21,4.30
22/07/21,4.33
29/07/21,4.35
05/08/21,4.33
12/08/21,4.50
19/08/21,4.50
26/08/21,4.49
02/09/21,4.39
09/09/21,4.49
15/09/21,4.60
23/09/21,4.58
30/09/21,4.69
07/10/21,4.81
14/10/21,4.79
21/10/21,4.83
28/10/21,4.93
04/11/21,5.00
11/11/21,5.14
16/11/21,N/E
18/11/21,5.00
25/11/21,5.05
02/12/21,5.10
09/12/21,5.20
16/12/21,5.20
23/12/21,5.45
30/12/21,5.49
06/01/22,5.51
13/01/22,5.52
20/01/22,5.57
27/01/22,5.50
03/02/22,5.84
10/02/22,5.75
17/02/22,5.95
24/02/22,5.94
03/03/22,6.06
10/03/22,6.15
17/03/22,6.33
24/03/22,6.49
31/03/22,6.52
07/04/22,6.52
13/04/22,6.52
21/04/22,6.50
28/04/22,6.68
05/05/22,6.85
12/05/22,6.97
19/05/22,6.93
26/05/22,6.90
02/06/22,7.01
09/06/22,7.32
16/06/22,7.15
23/06/22,7.50
30/06/22,7.56
07/07/22,7.70
14/07/22,7.55
21/07/22,7.74
28/07/22,8.05
04/08/22,8.01
11/08/22,8.30
18/08/22,8.35
25/08/22,8.35
01/09/22,8.35
08/09/22,8.55
15/09/22,8.75
22/09/22,8.61
29/09/22,9.25
06/10/22,9.00
13/10/22,8.90
20/10/22,8.80
27/10/22,9.00
03/11/22,9.40
10/11/22,9.19
17/11/22,9.37
24/11/22,9.70
01/12/22,9.68
08/12/22,10.00
15/12/22,9.80
22/12/22,10.20
29/12/22,10.10
05/01/23,10.49
12/01/23,10.46
19/01/23,10.70
26/01/23,10.80
02/02/23,10.78
09/02/23,10.82
16/02/23,11.05
23/02/23,11.04
02/03/23,11.05
09/03/23,11.19
16/03/23,11.30
23/03/23,11.28
30/03/23,11.34
05/04/23,11.28
13/04/23,11.30
20/04/23,11.30
27/04/23,11.27
04/05/23,11.40
11/05/23,11.39
18/05/23,11.25
25/05/23,11.25
01/06/23,11.20
08/06/23,11.32
15/06/23,11.15
22/06/23,11.09
29/06/23,11.02
06/07/23,11.30
13/07/23,11.29
20/07/23,11.18
27/07/23,11.09
03/08/23,11.28
10/08/23,11.25
17/08/23,11.26
24/08/23,10.96
31/08/23,11.07
07/09/23,11.00
14/09/23,11.25
21/09/23,11.00
28/09/23,11.05
05/10/23,11.05
12/10/23,11.05
19/10/23,10.95
26/10/23,11.26
01/11/23,11.09
09/11/23,10.95
16/11/23,10.87
23/11/23,10.75
30/11/23,10.78
07/12/23,11.25
14/12/23,11.25
21/12/23,11.09
28/12/23,11.26
04/01/24,11.30
11/01/24,11.28
18/01/24,11.30
25/01/24,11.28
01/02/24,11.15
08/02/24,11.06
15/02/24,11.05
22/02/24,11.00
29/02/24,11.00
07/03/24,11.00
14/03/24,11.18
21/03/24,10.99
27/03/24,10.90
04/04/24,10.88
11/04/24,10.92
18/04/24,11.04
25/04/24,11.04
02/05/24,10.95
09/05/24,11.03
16/05/24,10.95
23/05/24,11.00
30/05/24,11.03
06/06/24,11.04
13/06/24,11.00
20/06/24,10.95
27/06/24,10.88
04/07/24,11.02
11/07/24,10.90
18/07/24,10.89
25/07/24,10.87
01/08/24,10.97
08/08/24,10.86
15/08/24,10.65
22/08/24,10.65
29/08/24,10.65
05/09/24,10.51
12/09/24,10.49
19/09/24,10.40
26/09/24,10.35
03/10/24,10.30
10/10/24,10.30
17/10/24,10.21
24/10/24,10.20
31/10/24,10.20
07/11/24,10.10
14/11/24,10.10
21/11/24,10.05
28/11/24,9.95
05/12/24,9.90
11/12/24,9.95
19/12/24,9.80
26/12/24,9.74
02/01/25,10.04
09/01/25,9.88
16/01/25,9.78
23/01/25,9.75
30/01/25,9.87
06/02/25,9.65
13/02/25,9.35
20/02/25,9.37
27/02/25,9.44
06/03/25,9.15
13/03/25,9.14
20/03/25,9.10
27/03/25,9.02
03/04/25,8.80
10/04/25,8.80
16/04/25,9.00
24/04/25,8.80
30/04/25,8.65
08/05/25,8.55
15/05/25,8.40
22/05/25,8.15
29/05/25,8.12
05/06/25,8.10
12/06/25,8.10
19/06/25,8.14
26/06/25,8.00
03/07/25,7.70
10/07/25,7.85
17/07/25,7.65
24/07/25,7.65
31/07/25,7.48
07/08/25,7.50
14/08/25,7.38
21/08/25,7.40
28/08/25,7.27
04/09/25,7.35
11/09/25,7.35
18/09/25,7.25
25/09/25,7.20
02/10/25,7.19
09/10/25,7.47
16/10/25,7.40
23/10/25,7.10
30/10/25,7.10
06/11/25,7.30
13/11/25,7.05
20/11/25,7.25
27/11/25,7.15
04/12/25,7.29
11/12/25,7.25
18/12/25,7.15
24/12/25,7.04
31/12/25,7.07