Fecha,SP1
01/12/17,98.2729
01/01/18,98.7950
01/02/18,99.1714
01/03/18,99.4922
01/04/18,99.1548
01/05/18,98.9941
01/06/18,99.3765
01/07/18,99.9091
01/08/18,100.4920
01/09/18,100.9170
01/10/18,101.4400
01/11/18,102.3030
01/12/18,103.0200
01/01/19,103.1080
01/02/19,103.0790
01/03/19,103.4760
01/04/19,103.5310
01/05/19,103.2330
01/06/19,103.2990
01/07/19,103.6870
01/08/19,103.6700
01/09/19,103.9420
01/10/19,104.5030
01/11/19,105.3460
01/12/19,105.9340
01/01/20,106.4470
01/02/20,106.8890
01/03/20,106.8380
01/04/20,105.7550
01/05/20,106.1620
01/06/20,106.7430
01/07/20,107.4440
01/08/20,107.8670
01/09/20,108.1140
01/10/20,108.7740
01/11/20,108.8560
01/12/20,109.2710
01/01/21,110.2100
01/02/21,110.9070
01/03/21,111.8240
01/04/21,112.1900
01/05/21,112.4190
01/06/21,113.0180
01/07/21,113.6820
01/08/21,113.8990
01/09/21,114.6010
01/10/21,115.5610
01/11/21,116.8840
01/12/21,117.3080
01/01/22,118.0020
01/02/22,118.9810
01/03/22,120.1590
01/04/22,120.8090
01/05/22,121.0220
01/06/22,122.0440
01/07/22,122.9480
01/08/22,123.8030
01/09/22,124.5710
01/10/22,125.2760
01/11/22,125.9970
01/12/22,126.4780
01/01/23,127.3360
01/02/23,128.0460
01/03/23,128.3890
01/04/23,128.3630
01/05/23,128.0840
01/06/23,128.2140
01/07/23,128.8320
01/08/23,129.5450
01/09/23,130.1200
01/10/23,130.6090
01/11/23,131.4450
01/12/23,132.3730
01/01/24,133.5550
01/02/24,133.6810
01/03/24,134.0650
01/04/24,134.3360
01/05/24,134.0870
01/06/24,134.5940
01/07/24,136.0030
01/08/24,136.0130
01/09/24,136.0800
01/10/24,136.8280
01/11/24,137.4240
01/12/24,137.9490
01/01/25,138.3430
01/02/25,138.7260
01/03/25,139.1610
01/04/25,139.6200
01/05/25,140.0120
01/06/25,140.4050
01/07/25,140.7800
01/08/25,140.8670
01/09/25,141.1970
01/10/25,141.7080
01/11/25,142.6450
01/12/25,143.0420